"School Year","Division Number","Division Name","School Number","School Name","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2015-2016","75","Prince William County","880","Louise A. Benton Middle"," "," "," "," "," "," "," ","424","457","463"," "," "," "," ","1,344"," ","1,344"
"2015-2016","75","Prince William County","160","Martin Luther King Jr. Elementary","5","90","79","85","84","93","78"," "," "," "," "," "," "," ","514"," ","514"
"2015-2016","75","Prince William County","570","Marumsco Hills Elementary","3","121","147","133","126","129","110"," "," "," "," "," "," "," ","769"," ","769"
"2015-2016","75","Prince William County","231","Mary G. Porter Traditional"," "," ","81","82","86","85","84","88","90","89"," "," "," "," ","685"," ","685"
"2015-2016","75","Prince William County","240","Mary Williams Elementary","3","179","162","160","171","167","142"," "," "," "," "," "," "," ","984"," ","984"
"2015-2016","75","Prince William County","640","Mills E. Godwin Middle"," "," "," "," "," "," "," ","376","340","386"," "," "," "," ","1,102"," ","1,102"
"2015-2016","75","Prince William County","30","Minnieville Elementary","1","94","107","105","108","118","94"," "," "," "," "," "," "," ","627"," ","627"
"2015-2016","75","Prince William County","800","Montclair Elementary","19","79","100","98","106","114","106"," "," "," "," "," "," "," ","622"," ","622"
"2015-2016","75","Prince William County","810","Mountain View Elementary","3","81","74","84","119","112","103"," "," "," "," "," "," "," ","576"," ","576"
"2015-2016","75","Prince William County","700","Neabsco Elementary","3","92","116","83","80","97","102"," "," "," "," "," "," "," ","573"," ","573"
"2015-2016","75","Prince William County","260","Occoquan Elementary","1","115","110","102","94","94","117"," "," "," "," "," "," "," ","633"," ","633"
"2015-2016","75","Prince William County","820","Old Bridge Elementary","2","138","113","107","122","129","122"," "," "," "," "," "," "," ","733"," ","733"
"2015-2016","75","Prince William County","80","Osbourn Park High"," "," "," "," "," "," "," "," "," "," ","786","726","658","680","2,850","4","2,854"
"2015-2016","75","Prince William County","501","Parkside Middle"," "," "," "," "," "," "," ","379","406","445"," "," "," "," ","1,230"," ","1,230"
"2015-2016","75","Prince William County","1060","Patriot High","18"," "," "," "," "," "," "," "," "," ","719","734","697","649","2,817","1","2,818"
"2015-2016","75","Prince William County","945","Pennington Elementary"," "," ","78","78","81","84","84","84","81","78"," "," "," "," ","648"," ","648"
"2015-2016","75","Prince William County","110","Piney Branch Elementary","14","131","106","116","138","146","120"," "," "," "," "," "," "," ","771"," ","771"
"2015-2016","75","Prince William County","140","Potomac High"," "," "," "," "," "," "," "," "," "," ","571","513","461","401","1,946"," ","1,946"
"2015-2016","75","Prince William County","170","Potomac Middle"," "," "," "," "," "," "," ","367","391","435"," "," "," "," ","1,193"," ","1,193"
"2015-2016","75","Prince William County","550","Potomac View Elementary","34","146","158","131","142","143","117"," "," "," "," "," "," "," ","871"," ","871"
"2015-2016","75","Prince William County","440","R. Dean Kilby Elementary","43","71","56","78","67","68","73"," "," "," "," "," "," "," ","456"," ","456"
"2015-2016","75","Prince William County","591","Rippon Middle"," "," "," "," "," "," "," ","399","404","390"," "," "," "," ","1,193"," ","1,193"
"2015-2016","75","Prince William County","750","River Oaks Elementary","35","137","121","124","119","137","128"," "," "," "," "," "," "," ","801"," ","801"
"2015-2016","75","Prince William County","40","Rockledge Elementary","2","102","104","97","116","117","97"," "," "," "," "," "," "," ","635"," ","635"
"2015-2016","75","Prince William County","310","Ronald Wilson Reagan Middle"," "," "," "," "," "," "," ","422","396","466"," "," "," "," ","1,284","5","1,289"
"2015-2016","75","Prince William County","941","Rosa Parks Elementary","24","118","151","137","124","130","131"," "," "," "," "," "," "," ","815"," ","815"
"2015-2016","75","Prince William County","360","Samuel L. Gravely Jr. Elementary","3","101","110","126","129","152","144"," "," "," "," "," "," "," ","765"," ","765"
"2015-2016","75","Prince William County","730","Sharon C. McAuliffe Elementary","6","64","80","63","91","96","67"," "," "," "," "," "," "," ","467"," ","467"
"2015-2016","75","Prince William County","500","Signal Hill Elementary","27","108","119","104","121","114","125"," "," "," "," "," "," "," ","718"," ","718"
"2015-2016","75","Prince William County","850","Sonnie Penn Elementary","18","127","147","140","130","125","134"," "," "," "," "," "," "," ","821"," ","821"
"2015-2016","75","Prince William County","320","Springwoods Elementary"," ","114","120","140","117","115","98"," "," "," "," "," "," "," ","704"," ","704"
"2015-2016","75","Prince William County","680","Stonewall Jackson High"," "," "," "," "," "," "," "," "," "," ","746","710","588","524","2,568","1","2,569"
"2015-2016","75","Prince William County","480","Stonewall Middle"," "," "," "," "," "," "," ","387","357","434"," "," "," "," ","1,178"," ","1,178"
"2015-2016","75","Prince William County","780","Stuart M. Beville Middle"," "," "," "," "," "," "," ","360","362","376"," "," "," "," ","1,098","1","1,099"
"2015-2016","75","Prince William County","20","Sudley Elementary","3","103","113","115","129","124","118"," "," "," "," "," "," "," ","705"," ","705"
"2015-2016","75","Prince William County","270","Suella G. Ellis Elementary","34","116","121","107","98","99","80"," "," "," "," "," "," "," ","655"," ","655"
"2015-2016","75","Prince William County","890","Swans Creek Elementary","20","133","98","122","138","122","121"," "," "," "," "," "," "," ","754"," ","754"
"2015-2016","75","Prince William County","470","T. Clay Wood Elementary","4","144","160","132","156","185","149"," "," "," "," "," "," "," ","930"," ","930"
"2015-2016","75","Prince William County","150","The Nokesville","2","84","82","83","103","85","100","114","107","109"," "," "," "," ","869"," ","869"
"2015-2016","75","Prince William County","790","Thurgood Marshall Elementary","2","93","91","97","88","136","110"," "," "," "," "," "," "," ","617"," ","617"
"2015-2016","75","Prince William County","430","Triangle Elementary","23","137","120","139","128","120","142"," "," "," "," "," "," "," ","809"," ","809"
"2015-2016","75","Prince William County","390","Victory Elementary","3","108","107","126","113","125","130"," "," "," "," "," "," "," ","712"," ","712"
"2015-2016","75","Prince William County","540","West Gate Elementary","64","93","86","79","97","104","83"," "," "," "," "," "," "," ","606"," ","606"
"2015-2016","75","Prince William County","740","Westridge Elementary","2","119","115","129","133","132","110"," "," "," "," "," "," "," ","740"," ","740"
"2015-2016","75","Prince William County","190","Woodbine Pre-School Center","162"," "," "," "," "," "," "," "," "," "," "," "," "," ","162"," ","162"
"2015-2016","75","Prince William County","60","Woodbridge High"," "," "," "," "," "," "," "," "," "," ","765","768","678","705","2,916","3","2,919"
"2015-2016","75","Prince William County","560","Woodbridge Middle"," "," "," "," "," "," "," ","456","425","416"," "," "," "," ","1,297"," ","1,297"
"2015-2016","75","Prince William County","350","Yorkshire Elementary","66","133","147","137","149","127","115"," "," "," "," "," "," "," ","874"," ","874"
"2015-2016","77","Pulaski County","20","Critzer Elementary","23","67","75","64","75","65","63"," "," "," "," "," "," "," ","432"," ","432"
"2015-2016","77","Pulaski County","540","Dublin Elementary","20","50","74","78","76","70","95"," "," "," "," "," "," "," ","463"," ","463"
"2015-2016","77","Pulaski County","530","Dublin Middle"," "," "," "," "," "," "," ","178","164","163"," "," "," "," ","505"," ","505"
"2015-2016","77","Pulaski County","10","Pulaski County Senior High"," "," "," "," "," "," "," "," "," "," ","369","372","366","315","1,422"," ","1,422"
"2015-2016","77","Pulaski County","230","Pulaski Elementary","28","86","83","107","89","75","71"," "," "," "," "," "," "," ","539"," ","539"
"2015-2016","77","Pulaski County","460","Pulaski Middle"," "," "," "," "," "," "," ","157","122","120"," "," "," "," ","399"," ","399"
"2015-2016","77","Pulaski County","500","Riverlawn Elementary","21","78","57","66","71","69","66"," "," "," "," "," "," "," ","428"," ","428"
"2015-2016","77","Pulaski County","430","Snowville Elementary","13","24","23","16","30","26","26"," "," "," "," "," "," "," ","158"," ","158"
"2015-2016","122","Radford City","10","Belle Heth Elementary"," "," "," "," ","120","126","130","125"," "," "," "," "," "," ","501"," ","501"
"2015-2016","122","Radford City","42","John N. Dalton Intermediate"," "," "," "," "," "," "," "," ","122","133"," "," "," "," ","255"," ","255"
"2015-2016","122","Radford City","20","McHarg Elementary","52","110","133","115"," "," "," "," "," "," "," "," "," "," ","410"," ","410"
"2015-2016","122","Radford City","41","Radford High"," "," "," "," "," "," "," "," "," "," ","142","129","111","113","495"," ","495"
"2015-2016","78","Rappahannock County","240","Rappahannock County Elementary","20","55","58","71","62","65","55","75","64"," "," "," "," "," ","525"," ","525"
"2015-2016","78","Rappahannock County","230","Rappahannock County High"," "," "," "," "," "," "," "," "," ","69","84","80","71","65","369"," ","369"
"2015-2016","123","Richmond City","30","Albert Hill Middle"," "," "," "," "," "," "," ","169","169","153"," "," "," "," ","491"," ","491"
"2015-2016","123","Richmond City","750","Amelia Street Special Education","16","1","2","4","3","2","4","3","4","3","1","4","2","10","59"," ","59"
"2015-2016","123","Richmond City","850","Armstrong High"," "," "," "," "," "," "," "," "," "," ","301","273","189","211","974"," ","974"
"2015-2016","123","Richmond City","100","Bellevue Elementary","42","44","41","33","57","36","53"," "," "," "," "," "," "," ","306"," ","306"
"2015-2016","123","Richmond City","50","Binford Middle"," "," "," "," "," "," "," ","146","95","63"," "," "," "," ","304"," ","304"
"2015-2016","123","Richmond City","170","Blackwell Elementary","269","70","60","78","63","64","76"," "," "," "," "," "," "," ","680"," ","680"
"2015-2016","123","Richmond City","1100","Broad Rock Elementary"," ","140","162","153","125","145","160"," "," "," "," "," "," "," ","885"," ","885"
"2015-2016","123","Richmond City","830","Chimborazo Elementary","54","65","77","69","76","62","58"," "," "," "," "," "," "," ","461"," ","461"
"2015-2016","123","Richmond City","1440","E.S.H. Greene Elementary"," ","103","114","119","100","85","68"," "," "," "," "," "," "," ","589"," ","589"
"2015-2016","123","Richmond City","1400","Elizabeth D. Redd Elementary","35","67","80","71","77","63","82"," "," "," "," "," "," "," ","475"," ","475"
"2015-2016","123","Richmond City","710","Fairfield Court Elementary"," ","75","89","104","71","87","70"," "," "," "," "," "," "," ","496"," ","496"
"2015-2016","123","Richmond City","621","Franklin Military Academy"," "," "," "," "," "," "," ","71","58","61","62","40","25","47","364"," ","364"
"2015-2016","123","Richmond City","1470","G.H. Reid Elementary","40","119","130","118","107","93","82"," "," "," "," "," "," "," ","689"," ","689"
"2015-2016","123","Richmond City","290","George Mason Elementary"," ","84","81","96","94","52","45"," "," "," "," "," "," "," ","452"," ","452"
"2015-2016","123","Richmond City","311","George W. Carver Elementary","6","93","84","87","74","68","62"," "," "," "," "," "," "," ","474"," ","474"
"2015-2016","123","Richmond City","741","George Wythe High"," "," "," "," "," "," "," "," "," "," ","269","217","198","191","875"," ","875"
"2015-2016","123","Richmond City","230","Ginter Park Elementary","189","51","68","57","62","55","51"," "," "," "," "," "," "," ","533"," ","533"
"2015-2016","123","Richmond City","470","Henderson Middle"," "," "," "," "," "," "," ","167","136","155"," "," "," "," ","458"," ","458"
"2015-2016","123","Richmond City","1510","Huguenot High"," "," "," "," "," "," "," "," "," "," ","574","350","303","286","1,513"," ","1,513"
"2015-2016","123","Richmond City","1640","J.B. Fisher Elementary","19","55","58","57","76","56","52"," "," "," "," "," "," "," ","373"," ","373"
"2015-2016","123","Richmond City","390","J.E.B. Stuart Elementary"," ","65","56","63","60","76","70"," "," "," "," "," "," "," ","390"," ","390"
"2015-2016","123","Richmond City","1710","J.L. Francis Elementary","37","91","89","109","84","68","62"," "," "," "," "," "," "," ","540"," ","540"
"2015-2016","123","Richmond City","600","John B. Cary Elementary"," ","41","44","47","46","34","53"," "," "," "," "," "," "," ","265"," ","265"
"2015-2016","123","Richmond City","730","John Marshall High"," "," "," "," "," "," "," "," "," "," ","206","184","152","199","741"," ","741"
